 
log File 
 
User :zhaomo 
2020/08/22 
14:26
 
Process Ran by zhaomo 
 

映像名称                       PID 会话名              会话#       内存使用 
TSVNCache.exe                10020 Console                    4      2,232 K
DataExchangeHost.exe         18532 Console                    4      8,648 K
dllhost.exe                  13032 Console                    4      4,892 K
IEMonitor.exe                17728 Console                    4      2,392 K
dllhost.exe                  23836 Services                   0      4,028 K
FileCoAuth.exe               13684 Console                    4      2,712 K
SystemSettings.exe           25356 Console                    4        300 K
Snipaste.exe                 24180 Console                    4     65,016 K
RuntimeBroker.exe            15720 Console                    4      7,764 K
WinStore.App.exe             16336 Console                    4        316 K
RuntimeBroker.exe            26504 Console                    4     16,508 K
taskhostw.exe                16400 Console                    4     21,488 K
YourPhone.exe                 9632 Console                    4     14,248 K
RuntimeBroker.exe            27724 Console                    4     14,600 K
vmware-tray.exe              24616 Console                    4      9,852 K
WeChat.exe                   22384 Console                    4    197,524 K
WeChatWeb.exe                24676 Console                    4     19,560 K
WeChatApp.exe                 1128 Console                    4    117,772 K
Typora.exe                   27272 Console                    4    133,980 K
Typora.exe                   11292 Console                    4    118,028 K
Typora.exe                   16112 Console                    4    152,304 K
svchost.exe                  27920 Services                   0      6,420 K
svchost.exe                  26288 Services                   0      9,612 K
WindowsInternal.Composabl    20112 Console                    4     45,376 K
goland64.exe                 28372 Console                    4    754,316 K
fsnotifier64.exe              5844 Console                    4      1,840 K
conhost.exe                  28568 Console                    4     10,656 K
Code.exe                      6972 Console                    4    134,504 K
Code.exe                     23640 Console                    4    355,968 K
Code.exe                      2480 Console                    4     26,652 K
Code.exe                      7744 Console                    4     13,780 K
Code.exe                      2004 Console                    4     73,580 K
Code.exe                     12108 Console                    4    222,872 K
Code.exe                     14008 Console                    4     73,224 K
CodeHelper.exe               22644 Console                    4     14,092 K
conhost.exe                  22904 Console                    4     11,028 K
Code.exe                     12480 Console                    4     34,396 K
WmiPrvSE.exe                 23600 Services                   0     32,288 K
WmiPrvSE.exe                 20936 Services                   0      8,096 K
conhost.exe                   4884 Console                    4      5,824 K
powershell.exe               18452 Console                    4     70,772 K
cmd.exe                      19072 Console                    4      3,792 K
conhost.exe                  12020 Console                    4     33,568 K
chrome.exe                   13340 Console                    4     82,040 K
chrome.exe                   18828 Console                    4      6,660 K
chrome.exe                    7872 Console                    4      6,524 K
chrome.exe                   13800 Console                    4     66,848 K
chrome.exe                   22388 Console                    4     21,580 K
chrome.exe                   22160 Console                    4     51,424 K
chrome.exe                   11376 Console                    4     38,528 K
svchost.exe                  27128 Services                   0      5,792 K
chrome.exe                    7116 Console                    4     51,004 K
chrome.exe                   14360 Console                    4     21,564 K
SearchProtocolHost.exe       25072 Services                   0     13,376 K
svchost.exe                  15144 Services                   0     11,916 K
Code.exe                     16984 Console                    4     57,020 K
SearchFilterHost.exe         18620 Services                   0      9,068 K
cmd.exe                      22432 Console                    4     13,692 K
conhost.exe                  23644 Console                    4     11,104 K
chrome.exe                    5424 Console                    4     98,420 K
chrome.exe                   24852 Console                    4      6,644 K
chrome.exe                   10456 Console                    4     64,028 K
chrome.exe                    3540 Console                    4     24,808 K
chrome.exe                   20724 Console                    4     21,316 K
chrome.exe                   15628 Console                    4     38,844 K
chrome.exe                   22296 Console                    4     39,212 K
chrome.exe                   18344 Console                    4     37,732 K
WmiPrvSE.exe                 28100 Services                   0     10,300 K
svchost.exe                  14128 Services                   0     22,060 K
cmd.exe                      10068 Console                    4      4,332 K
tasklist.exe                 19440 Console                    4      8,196 K
 
Nectwork Activities 

IPv4 统计信息

  接收的数据包                   = 53758878
  接收的标头错误             = 0
  接收的地址错误            = 1566
  转发的数据报                = 11002023
  接收的未知协议         = 0
  丢弃的接收数据包         = 6271796
  传送的接收数据包         = 44825659
  输出请求                    = 20730997
